Description	ID	nc	nt	sp
 Neurospora crassa OR74A hypothetical protein (10740 aa)	1	4	0	0
 Neurospora crassa OR74A hypothetical protein (8114 aa)	5	1	0	0
estExt_fgenesh1_pg.C_812010	6	0	1	0
estExt_Genemark.C_60026	7	1	1	0
 Neurospora crassa OR74A midasin (4994 aa)	9	1	1	0
"ferrichrome synthetase Sib1"	11	0	0	1
"midasin (predicted)"	12	0	0	1
estExt_fgenesh1_pg.C_812011	13	0	1	0
 Neurospora crassa OR74A ropy-1 (4368 aa)	14	2	1	0
"dynein heavy chain Dhc1"	17	0	0	1
estExt_Genemark.C_40215	18	1	1	0
 Neurospora crassa OR74A male barren-3 (4008 aa)	20	1	0	0
"cell surface glycoprotein, flocculin, related to Gsf2"	21	0	0	1
 Neurospora crassa OR74A serine/threonine protein kinase-18 (3896 aa)	22	1	1	2
 Neurospora crassa OR74A hypothetical protein (3310 aa)	26	1	1	0
estExt_fgenesh1_pg.C_20641	28	1	1	0
"HECT-type ubiquitin ligase E3 Ptr1"	29	0	0	1
estExt_Genewise1Plus.C_52160	30	1	1	0
 Neurospora crassa OR74A hypothetical protein (3096 aa)	33	1	1	0
 Neurospora crassa OR74A hypothetical protein (3083 aa)	34	1	1	0
"chorein homolog (predicted)"	35	0	0	1
 Neurospora crassa OR74A hypothetical protein (3055 aa)	36	2	1	0
"chorein homolog (predicted)"	41	0	0	1
estExt_Genewise1.C_31640	42	1	1	0
 Neurospora crassa OR74A hypothetical protein (2913 aa)	44	3	1	0
estExt_Genemark.C_60833	45	1	1	0
 Neurospora crassa OR74A hypothetical protein (2883 aa)	48	1	1	0
estExt_Genewise1Plus.C_40760	50	1	1	0
"ATM checkpoint kinase"	53	0	0	1
estExt_fgenesh1_pg.C_40339	54	1	1	0
e_gw1.2.1115.1	56	1	1	0
"conserved eukaryotic mitochondrial protein (predicted)"	58	0	0	1
 Neurospora crassa OR74A translational activator (2693 aa)	59	1	1	1
estExt_Genemark.C_810518	62	1	1	0
estExt_fgenesh1_pg.C_50592	64	0	1	0
estExt_Genewise1Plus.C_20013	65	1	1	0
 Neurospora crassa OR74A hypothetical protein (2627 aa)	67	1	1	0
"beige protein homolog Lvs1 (predicted)"	69	0	0	1
 Neurospora crassa OR74A hypothetical protein (2593 aa)	71	2	1	0
 Neurospora crassa OR74A polyketide synthase-3 (2579 aa)	72	1	1	0
estExt_Genewise1Plus.C_50528	74	2	1	0
 Neurospora crassa OR74A hypothetical protein (2568 aa)	77	3	1	0
estExt_fgenesh1_pg.C_40473	79	1	1	0
 Neurospora crassa OR74A 1-phosphatidylinositol-3-phosphate 5-kinase (2559 aa)	80	1	1	0
 Neurospora crassa OR74A THO complex component (2557 aa)	83	1	1	0
 Neurospora crassa OR74A hypothetical protein (2510 aa)	86	1	0	0
"U3 snoRNP protein Utp20 (predicted)"	88	0	0	1
 Neurospora crassa OR74A mutagen sensitive-9 (2493 aa)	89	1	1	0
estExt_Genemark.C_60330	91	1	1	2
estExt_Genemark.C_810207	94	1	1	0
 Neurospora crassa OR74A myo2-like (2419 aa)	95	1	0	0
"alpha glucan synthase Ags1"	96	2	2	4
"ATR checkpoint kinase Rad3"	100	0	0	1
estExt_fgenesh1_pm.C_811847	101	1	1	0
 Neurospora crassa OR74A pre-mRNA processing splicing factor 8 (2375 aa)	104	1	1	1
 Neurospora crassa OR74A hypothetical protein (2359 aa)	107	1	1	0
Genemark.1653_g	109	1	1	0
e_gw1.6.1126.1	111	2	2	0
"histidine kinase Mak3"	113	0	0	1
estExt_Genemark.C_10715	116	1	1	0
 Neurospora crassa OR74A quelling-defective-3 (2331 aa)	117	1	1	0
estExt_fgenesh1_pg.C_40072	118	0	1	0
